freq,currency,nace_r2,geo\TIME_PERIOD	2018 	2019 	2020 	2021 	2022 
A,MIO_EUR,TOTAL,BE223	4310.9 	4365.6 	4264.5 	4696.8 	5093.6 p
A,MIO_EUR,TOTAL,BE224	15022.7 	15450.6 	14824.6 	16500.8 	18196.7 p
A,MIO_EUR,TOTAL,BE225	6282 	6556.7 	6546.5 	7125.8 	7685.6 p
A,MIO_EUR,TOTAL,BE23	49638.4 	51506 	50165.8 	56556.5 	61980.4 p
A,MIO_EUR,TOTAL,BE231	6790 	6994.4 	6797 	7540.5 	8197.6 p
A,MIO_EUR,TOTAL,BE232	5055.6 	5211.5 	5199.6 	5788.2 	6110.9 p
A,MIO_EUR,TOTAL,BE233	2218.2 	2236.3 	2158.8 	2339.1 	2513.2 p
A,MIO_EUR,TOTAL,BE234	24049.9 	24862.4 	24332.2 	27587.1 	30568.8 p
A,MIO_EUR,TOTAL,BE235	3467.7 	3577.5 	3088.5 	3586.9 	3929 p
A,MIO_EUR,TOTAL,BE236	8057 	8623.9 	8589.7 	9714.7 	10660.9 p
A,MIO_EUR,TOTAL,BE24	44604 	46433.2 	43786.8 	49652.5 	57074 p
A,MIO_EUR,TOTAL,BE241	27619.8 	28917.8 	26531 	30952.2 	36875.9 p
A,MIO_EUR,TOTAL,BE242	16984.2 	17515.4 	17255.8 	18700.3 	20198.1 p
A,MIO_EUR,TOTAL,BE25	41548.2 	43293.9 	42138.1 	46658.5 	50089.8 p
A,MIO_EUR,TOTAL,BE251	10162.6 	10592.4 	9987.7 	11062.6 	12045.5 p
A,MIO_EUR,TOTAL,BE252	1254.1 	1334.2 	1327.6 	1431.8 	1540.9 p
A,MIO_EUR,TOTAL,BE253	3373.4 	3417.6 	3287 	3605.7 	3887.4 p
A,MIO_EUR,TOTAL,BE254	11240.5 	11694 	11442.5 	12872.9 	13737.8 p
A,MIO_EUR,TOTAL,BE255	4380.9 	4670.8 	4662.6 	5113.8 	5402.3 p
A,MIO_EUR,TOTAL,BE256	5603.4 	5842.8 	5810.5 	6360.5 	6819.8 p
A,MIO_EUR,TOTAL,BE257	3480.8 	3647.5 	3629.7 	3989.8 	4270.2 p
A,MIO_EUR,TOTAL,BE258	2052.5 	2094.6 	1990.5 	2221.4 	2385.9 p
A,MIO_EUR,TOTAL,BE3	95130.1 	99545.3 	95952.9 	103101.5 	113650.9 p
A,MIO_EUR,TOTAL,BE31	18007.5 	20299.1 	19479.6 	19191 	22348.2 p
A,MIO_EUR,TOTAL,BE310	18007.5 	20299.1 	19479.6 	19191 	22348.2 p
A,MIO_EUR,TOTAL,BE32	30499.7 	31107 	30035.5 	32833.1 	35547.6 p
