freq,currency,nace_r2,geo\TIME_PERIOD	2018 	2019 	2020 	2021 	2022 
A,MIO_EUR,TOTAL,DE21G	3580.37 e	3760.82 e	3799.12 e	3979.11 e	: 
A,MIO_EUR,TOTAL,DE21H	34856.14 e	36678.09 e	35346.94 e	37988.12 e	: 
A,MIO_EUR,TOTAL,DE21I	3263.06 e	3390.2 e	3495.3 e	3575.4 e	: 
A,MIO_EUR,TOTAL,DE21J	4186 e	4240.37 e	4714.54 e	4965.12 e	: 
A,MIO_EUR,TOTAL,DE21K	7714.72 e	8117.81 e	8211.91 e	8667.05 e	: 
A,MIO_EUR,TOTAL,DE21L	5566.04 e	5777.02 e	5687.54 e	6126.72 e	: 
A,MIO_EUR,TOTAL,DE21M	6523.18 e	6677.2 e	6747.63 e	7264.17 e	: 
A,MIO_EUR,TOTAL,DE21N	5026.74 e	5140.45 e	5374.54 e	5616.21 e	: 
A,MIO_EUR,TOTAL,DE22	43648.01 e	45335.28 e	45536.9 e	48459.84 e	52345.39 e
A,MIO_EUR,TOTAL,DE221	3817.32 e	4002.93 e	3874.26 e	4112.62 e	: 
A,MIO_EUR,TOTAL,DE222	3188.3 e	3253.31 e	3220.32 e	3377.39 e	: 
A,MIO_EUR,TOTAL,DE223	2285.93 e	2440.83 e	2448.78 e	2439.48 e	: 
A,MIO_EUR,TOTAL,DE224	4383.34 e	4482.02 e	4615.29 e	4770.09 e	: 
A,MIO_EUR,TOTAL,DE225	2152.28 e	2223.29 e	2300.12 e	2410.14 e	: 
A,MIO_EUR,TOTAL,DE226	3514.45 e	3617.33 e	3637.59 e	3991.08 e	: 
A,MIO_EUR,TOTAL,DE227	5292.54 e	5422.76 e	6105.13 e	6080.81 e	: 
A,MIO_EUR,TOTAL,DE228	5302.48 e	5424.43 e	5362.41 e	5679.67 e	: 
A,MIO_EUR,TOTAL,DE229	2302.28 e	2443.19 e	2444.53 e	2577.23 e	: 
A,MIO_EUR,TOTAL,DE22A	3643.7 e	3748.7 e	3858.4 e	4068.76 e	: 
A,MIO_EUR,TOTAL,DE22B	2522.12 e	2632.91 e	2645.87 e	2812.62 e	: 
A,MIO_EUR,TOTAL,DE22C	5243.27 e	5643.6 e	5024.2 e	6139.94 e	: 
A,MIO_EUR,TOTAL,DE23	42479.38 e	43903.24 e	43689.3 e	46292.65 e	49858.72 e
A,MIO_EUR,TOTAL,DE231	2338.27 e	2431.08 e	2464.3 e	2448.85 e	: 
A,MIO_EUR,TOTAL,DE232	11943.94 e	12251.08 e	11741.4 e	12610.59 e	: 
A,MIO_EUR,TOTAL,DE233	2131.18 e	2231.67 e	2201.63 e	2287.7 e	: 
A,MIO_EUR,TOTAL,DE234	2589.38 e	2639.63 e	2669.8 e	2871 e	: 
A,MIO_EUR,TOTAL,DE235	4328.79 e	4503.05 e	4588.61 e	4598.42 e	: 
A,MIO_EUR,TOTAL,DE236	4693.72 e	4734.21 e	4851.94 e	5152.72 e	: 
A,MIO_EUR,TOTAL,DE237	2762.32 e	2838.53 e	2939.23 e	3154.79 e	: 
A,MIO_EUR,TOTAL,DE238	4450.38 e	4595.63 e	4575.77 e	4799.19 e	: 
A,MIO_EUR,TOTAL,DE239	4846.47 e	5019.95 e	4996 e	5356.32 e	: 
A,MIO_EUR,TOTAL,DE23A	2394.94 e	2658.42 e	2660.62 e	3013.06 e	: 
A,MIO_EUR,TOTAL,DE24	36894.52 e	37884.97 e	37372.08 e	39201.96 e	41922.58 e
A,MIO_EUR,TOTAL,DE241	4465.86 e	4450.96 e	4492.54 e	4682.5 e	: 
A,MIO_EUR,TOTAL,DE242	4346.61 e	4380.42 e	4194.97 e	4397.47 e	: 
A,MIO_EUR,TOTAL,DE243	3594.64 e	3700.93 e	3565.3 e	3829.61 e	: 
A,MIO_EUR,TOTAL,DE244	1769.54 e	1808.99 e	1809.75 e	1897.68 e	: 
A,MIO_EUR,TOTAL,DE245	3471.87 e	3624.78 e	3625.49 e	3652.88 e	: 
A,MIO_EUR,TOTAL,DE246	2049.9 e	2136.9 e	2180.42 e	2296.56 e	: 
A,MIO_EUR,TOTAL,DE247	2146.23 e	2203.11 e	2140.76 e	2276.85 e	: 
A,MIO_EUR,TOTAL,DE248	3219.09 e	3539.87 e	3510.64 e	3671.3 e	: 
A,MIO_EUR,TOTAL,DE249	3031.43 e	3072.3 e	3053.6 e	3130.93 e	: 
A,MIO_EUR,TOTAL,DE24A	1990.91 e	2037.8 e	1943.41 e	2115.45 e	: 
A,MIO_EUR,TOTAL,DE24B	2291.19 e	2329.1 e	2364.31 e	2528.42 e	: 
A,MIO_EUR,TOTAL,DE24C	2197.36 e	2145.76 e	2181.94 e	2251.85 e	: 
A,MIO_EUR,TOTAL,DE24D	2319.88 e	2454.06 e	2308.97 e	2470.46 e	: 
A,MIO_EUR,TOTAL,DE25	72252.56 e	74810.57 e	73436.38 e	76990.27 e	82297.54 e
A,MIO_EUR,TOTAL,DE251	2198.9 e	2249.08 e	2244.76 e	2392.54 e	: 
A,MIO_EUR,TOTAL,DE252	9768.94 e	10239.96 e	10523.67 e	10755.86 e	: 
A,MIO_EUR,TOTAL,DE253	4326.35 e	4432.54 e	4452.11 e	4549.08 e	: 
A,MIO_EUR,TOTAL,DE254	28525.62 e	29572.79 e	28351.69 e	29612.69 e	: 
A,MIO_EUR,TOTAL,DE255	1347.63 e	1411.58 e	1369.45 e	1433.23 e	: 
A,MIO_EUR,TOTAL,DE256	5197.22 e	5335.46 e	5317.64 e	5699.96 e	: 
A,MIO_EUR,TOTAL,DE257	4726.06 e	4833.06 e	4540.41 e	4957.4 e	: 
A,MIO_EUR,TOTAL,DE258	2480.78 e	2533.16 e	2504.8 e	2609.56 e	: 
A,MIO_EUR,TOTAL,DE259	4882.05 e	5021.18 e	4898.43 e	5227.4 e	: 
A,MIO_EUR,TOTAL,DE25A	2708.23 e	2866.05 e	2895.62 e	3044.22 e	: 
A,MIO_EUR,TOTAL,DE25B	3388.45 e	3556.38 e	3629.75 e	3858.23 e	: 
A,MIO_EUR,TOTAL,DE25C	2702.32 e	2759.33 e	2708.08 e	2850.11 e	: 
A,MIO_EUR,TOTAL,DE26	48473.56 e	49785.29 e	48897.95 e	51443.33 e	55401.43 e
A,MIO_EUR,TOTAL,DE261	4603.39 e	4859.51 e	4603.23 e	5086.65 e	: 
A,MIO_EUR,TOTAL,DE262	5097.44 e	4923.54 e	4578.63 e	4835.78 e	: 
A,MIO_EUR,TOTAL,DE263	7396.96 e	7779.89 e	7606.64 e	7884.27 e	: 
A,MIO_EUR,TOTAL,DE264	5317 e	5463.37 e	5323.41 e	5486.65 e	: 
A,MIO_EUR,TOTAL,DE265	3024.71 e	3118.7 e	3155.36 e	3260.34 e	: 
A,MIO_EUR,TOTAL,DE266	2959.28 e	3028.96 e	3090.07 e	3179.72 e	: 
A,MIO_EUR,TOTAL,DE267	2457.8 e	2509.32 e	2519.42 e	2554.29 e	: 
A,MIO_EUR,TOTAL,DE268	2872.18 e	3039.28 e	3001.88 e	3140.93 e	: 
A,MIO_EUR,TOTAL,DE269	4015.68 e	4049.15 e	4128.94 e	4473.75 e	: 
A,MIO_EUR,TOTAL,DE26A	4209.18 e	4319.72 e	4287.53 e	4665.91 e	: 
A,MIO_EUR,TOTAL,DE26B	2326.97 e	2376.9 e	2349.26 e	2467.6 e	: 
A,MIO_EUR,TOTAL,DE26C	4192.98 e	4316.95 e	4253.58 e	4407.43 e	: 
A,MIO_EUR,TOTAL,DE27	67830.73 e	70209.18 e	69537.46 e	72278.89 e	77912.02 e
A,MIO_EUR,TOTAL,DE271	13053.36 e	13606.58 e	13059.11 e	13468.69 e	: 
A,MIO_EUR,TOTAL,DE272	1541.6 e	1511.46 e	1494.83 e	1583.1 e	: 
A,MIO_EUR,TOTAL,DE273	3271.56 e	3429.92 e	3203.12 e	3377.73 e	: 
A,MIO_EUR,TOTAL,DE274	2392.59 e	2474.26 e	2462.19 e	2603.16 e	: 
A,MIO_EUR,TOTAL,DE275	3346.85 e	3458.6 e	3505.69 e	3775.05 e	: 
A,MIO_EUR,TOTAL,DE276	6970.41 e	7225.05 e	7307.34 e	7714.04 e	: 
A,MIO_EUR,TOTAL,DE277	3071.99 e	3116.05 e	3284.4 e	3402.84 e	: 
A,MIO_EUR,TOTAL,DE278	5151.71 e	5469.52 e	5430.33 e	5874.43 e	: 
A,MIO_EUR,TOTAL,DE279	6144.92 e	6236.95 e	6011.24 e	6131.73 e	: 
A,MIO_EUR,TOTAL,DE27A	2797.87 e	2898.96 e	2801.2 e	2881.73 e	: 
A,MIO_EUR,TOTAL,DE27B	4561.71 e	4798.91 e	4797.35 e	4901.99 e	: 
A,MIO_EUR,TOTAL,DE27C	4949.1 e	5115.57 e	5154.27 e	5399.07 e	: 
A,MIO_EUR,TOTAL,DE27D	5981.48 e	6172.71 e	6300.9 e	6185.09 e	: 
A,MIO_EUR,TOTAL,DE27E	4595.59 e	4694.65 e	4725.48 e	4980.24 e	: 
A,MIO_EUR,TOTAL,DE3	135053.42 e	141552.3 e	141898.39 e	150381.31 e	163213.4 e
A,MIO_EUR,TOTAL,DE30	135053.42 e	141552.3 e	141898.39 e	150381.31 e	163213.4 e
A,MIO_EUR,TOTAL,DE300	135053.42 e	141552.3 e	141898.39 e	150381.31 e	: 
A,MIO_EUR,TOTAL,DE4	65568.06 e	68539.28 e	68632.81 e	73228.84 e	80496.42 e
A,MIO_EUR,TOTAL,DE40	65568.06 e	68539.28 e	68632.81 e	73228.84 e	80496.42 e
A,MIO_EUR,TOTAL,DE401	2099.84 e	2168.94 e	2149.27 e	2287.91 e	: 
A,MIO_EUR,TOTAL,DE402	3199.97 e	3289.23 e	3276.82 e	3404.39 e	: 
A,MIO_EUR,TOTAL,DE403	1953.21 e	2032.24 e	2053.58 e	2097.6 e	: 
A,MIO_EUR,TOTAL,DE404	6853.59 e	7242.23 e	7273.28 e	7565.88 e	: 
A,MIO_EUR,TOTAL,DE405	3652.05 e	3828.88 e	3849.56 e	4058.07 e	: 
A,MIO_EUR,TOTAL,DE406	5065.98 e	5119.86 e	5227.5 e	5627.26 e	: 
A,MIO_EUR,TOTAL,DE407	2299.36 e	2377.07 e	2431.66 e	2520.93 e	: 
A,MIO_EUR,TOTAL,DE408	3079.9 e	3192.36 e	3234.8 e	3392.28 e	: 
A,MIO_EUR,TOTAL,DE409	3759.37 e	3965.5 e	4043.27 e	4231.91 e	: 
A,MIO_EUR,TOTAL,DE40A	4983.06 e	5185.41 e	5210.04 e	5853.64 e	: 
A,MIO_EUR,TOTAL,DE40B	2838.46 e	2834.2 e	2763 e	2824.67 e	: 
A,MIO_EUR,TOTAL,DE40C	4267.98 e	4460.74 e	4449.1 e	4901.14 e	: 
A,MIO_EUR,TOTAL,DE40D	2388.27 e	2560.66 e	2578.2 e	2665.51 e	: 
A,MIO_EUR,TOTAL,DE40E	4967.3 e	5306.24 e	5384.6 e	5552.76 e	: 
A,MIO_EUR,TOTAL,DE40F	1841.44 e	1916.28 e	2005.41 e	2182.48 e	: 
A,MIO_EUR,TOTAL,DE40G	3702.43 e	3773.27 e	3706.37 e	4386.35 e	: 
A,MIO_EUR,TOTAL,DE40H	5394.53 e	5948.42 e	5724.12 e	5816.24 e	: 
A,MIO_EUR,TOTAL,DE40I	3221.33 e	3337.75 e	3272.27 e	3859.83 e	: 
A,MIO_EUR,TOTAL,DE5	29671.04 e	29903 e	29166.14 e	31979.99 e	35140.53 e
A,MIO_EUR,TOTAL,DE50	29671.04 e	29903 e	29166.14 e	31979.99 e	35140.53 e
A,MIO_EUR,TOTAL,DE501	26043.15 e	26316.42 e	25526.65 e	28181.84 e	: 
A,MIO_EUR,TOTAL,DE502	3627.89 e	3586.58 e	3639.49 e	3798.15 e	: 
A,MIO_EUR,TOTAL,DE6	107267.08 e	112487.8 e	108726.09 e	119195.81 e	131086.56 e
A,MIO_EUR,TOTAL,DE60	107267.08 e	112487.8 e	108726.09 e	119195.81 e	131086.56 e
A,MIO_EUR,TOTAL,DE600	107267.08 e	112487.8 e	108726.09 e	119195.81 e	: 
A,MIO_EUR,TOTAL,DE7	257973.86 e	266523.27 e	261285.61 e	277113.86 e	294908.9 e
A,MIO_EUR,TOTAL,DE71	185237.4 e	191262.22 e	187755.73 e	199078.78 e	212420.89 e
A,MIO_EUR,TOTAL,DE711	11261.27 e	11839.97 e	12131.52 e	12881.4 e	: 
A,MIO_EUR,TOTAL,DE712	63927.72 e	66585.76 e	65270.17 e	68598.2 e	: 
A,MIO_EUR,TOTAL,DE713	4266.25 e	4372.66 e	4294.91 e	4606.92 e	: 
A,MIO_EUR,TOTAL,DE714	15895.12 e	16517.78 e	16475.84 e	17620.22 e	: 
A,MIO_EUR,TOTAL,DE715	7017.33 e	7207.79 e	7178.43 e	7631.95 e	: 
A,MIO_EUR,TOTAL,DE716	7716.44 e	7892.23 e	7871.65 e	8452.11 e	: 
A,MIO_EUR,TOTAL,DE717	11269.54 e	11485.47 e	10565.85 e	11519.32 e	: 
A,MIO_EUR,TOTAL,DE718	10468.17 e	10519.97 e	10160.05 e	10537.82 e	: 
A,MIO_EUR,TOTAL,DE719	13828.79 e	14052.51 e	14116.89 e	14906.59 e	: 
A,MIO_EUR,TOTAL,DE71A	11729.99 e	12414.74 e	12019.04 e	13030.39 e	: 
A,MIO_EUR,TOTAL,DE71B	2304.17 e	2354.88 e	2220.54 e	2383.37 e	: 
A,MIO_EUR,TOTAL,DE71C	13115.32 e	13152.04 e	12801.28 e	13836.38 e	: 
A,MIO_EUR,TOTAL,DE71D	4260.46 e	4416.25 e	4351.75 e	4434.08 e	: 
A,MIO_EUR,TOTAL,DE71E	8176.86 e	8450.19 e	8297.8 e	8640.02 e	: 
A,MIO_EUR,TOTAL,DE72	32662.21 e	33695.93 e	33411.08 e	35449.11 e	37175.71 e
A,MIO_EUR,TOTAL,DE721	8813.1 e	9088.11 e	9250.06 e	9707.77 e	: 
A,MIO_EUR,TOTAL,DE722	7878.88 e	8148.31 e	7801.92 e	8228.99 e	: 
A,MIO_EUR,TOTAL,DE723	4789.37 e	4950.82 e	4904.64 e	5124.74 e	: 
A,MIO_EUR,TOTAL,DE724	8564.4 e	8837.45 e	8748.89 e	9516.42 e	: 
A,MIO_EUR,TOTAL,DE725	2616.46 e	2671.24 e	2705.57 e	2871.19 e	: 
A,MIO_EUR,TOTAL,DE73	40074.25 e	41565.11 e	40118.82 e	42585.97 e	45312.31 e
A,MIO_EUR,TOTAL,DE731	9357.82 e	9853.67 e	9404.35 e	10044.34 e	: 
A,MIO_EUR,TOTAL,DE732	7567.54 e	7770.89 e	7607.29 e	8069.33 e	: 
A,MIO_EUR,TOTAL,DE733	3991.96 e	4240.11 e	4025.41 e	4401.33 e	: 
A,MIO_EUR,TOTAL,DE734	6488.31 e	6628.79 e	6153.75 e	6334.76 e	: 
A,MIO_EUR,TOTAL,DE735	5030.29 e	5251.18 e	5210.18 e	5524.46 e	: 
A,MIO_EUR,TOTAL,DE736	5355.08 e	5468.77 e	5409.01 e	5802.85 e	: 
A,MIO_EUR,TOTAL,DE737	2283.25 e	2351.69 e	2308.84 e	2408.91 e	: 
A,MIO_EUR,TOTAL,DE8	39957.83 e	42903.28 e	42508.93 e	45128.48 e	48284.9 e
A,MIO_EUR,TOTAL,DE80	39957.83 e	42903.28 e	42508.93 e	45128.48 e	48284.9 e
A,MIO_EUR,TOTAL,DE803	6786.02 e	7494.99 e	7007.57 e	7758.54 e	: 
A,MIO_EUR,TOTAL,DE804	3396.62 e	3631.86 e	3741.56 e	3853.19 e	: 
A,MIO_EUR,TOTAL,DE80J	6406.37 e	6798.19 e	6906.96 e	7187.53 e	: 
A,MIO_EUR,TOTAL,DE80K	4915.77 e	5287.18 e	5325.26 e	5635.26 e	: 
A,MIO_EUR,TOTAL,DE80L	5034.34 e	5407.81 e	5246.85 e	5514.14 e	: 
A,MIO_EUR,TOTAL,DE80M	3385.77 e	3659.33 e	3572.32 e	4035.19 e	: 
A,MIO_EUR,TOTAL,DE80N	5344.84 e	5651.77 e	5622.04 e	5824.51 e	: 
A,MIO_EUR,TOTAL,DE80O	4688.12 e	4972.16 e	5086.37 e	5320.11 e	: 
A,MIO_EUR,TOTAL,DE9	268076.46 e	280182.91 e	275240.17 e	286711.38 e	306858.7 e
A,MIO_EUR,TOTAL,DE91	70296.07 e	73696.96 e	68786.5 e	70717.59 e	75154.06 e
A,MIO_EUR,TOTAL,DE911	16825.78 e	18568.74 e	17869.71 e	18586.92 e	: 
A,MIO_EUR,TOTAL,DE912	5330.23 e	5243.62 e	4614.81 e	4907.87 e	: 
A,MIO_EUR,TOTAL,DE913	20589.24 e	21948.77 e	18539.36 e	17902.86 e	: 
A,MIO_EUR,TOTAL,DE914	3328.76 e	3424.85 e	3441.52 e	3566.38 e	: 
A,MIO_EUR,TOTAL,DE916	3685.8 e	3613.55 e	3503.78 e	3603.46 e	: 
A,MIO_EUR,TOTAL,DE917	1695.78 e	1736.13 e	1774.89 e	1845.92 e	: 
A,MIO_EUR,TOTAL,DE918	3429.7 e	3449.74 e	3454.19 e	3564.14 e	: 
A,MIO_EUR,TOTAL,DE91A	2682.08 e	2717.7 e	2721.67 e	2907.37 e	: 
A,MIO_EUR,TOTAL,DE91B	2196.64 e	2312.92 e	2290.58 e	2398.92 e	: 
A,MIO_EUR,TOTAL,DE91C	10532.07 e	10680.95 e	10576 e	11433.75 e	: 
A,MIO_EUR,TOTAL,DE92	74542.53 e	77224.3 e	76053.33 e	79969.68 e	85134.87 e
A,MIO_EUR,TOTAL,DE922	5897.7 e	6156.51 e	6042.63 e	6453.42 e	: 
A,MIO_EUR,TOTAL,DE923	4631.81 e	4844.01 e	4937.48 e	5394.46 e	: 
A,MIO_EUR,TOTAL,DE925	7082.46 e	7383.57 e	7351.87 e	7573.78 e	: 
A,MIO_EUR,TOTAL,DE926	1996.27 e	2043.21 e	2062.44 e	2189.69 e	: 
A,MIO_EUR,TOTAL,DE927	3350.05 e	3517.21 e	3555.29 e	3747.46 e	: 
A,MIO_EUR,TOTAL,DE928	3712 e	3774.64 e	3777.72 e	4001.34 e	: 
A,MIO_EUR,TOTAL,DE929	47872.23 e	49505.15 e	48325.91 e	50609.54 e	: 
A,MIO_EUR,TOTAL,DE93	43124.95 e	45317.99 e	45852.03 e	47907.91 e	51721.64 e
A,MIO_EUR,TOTAL,DE931	4846.38 e	4963.02 e	4874.83 e	5031.88 e	: 
A,MIO_EUR,TOTAL,DE932	4177.63 e	4418.65 e	4638.06 e	4732.89 e	: 
A,MIO_EUR,TOTAL,DE933	5509.06 e	5811.25 e	5811.66 e	6055.59 e	: 
A,MIO_EUR,TOTAL,DE934	1135.13 e	1145.18 e	1145.13 e	1159.56 e	: 
A,MIO_EUR,TOTAL,DE935	4667.59 e	4899.74 e	4993.72 e	5178.58 e	: 
A,MIO_EUR,TOTAL,DE936	2099.94 e	2191.76 e	2240.91 e	2313.68 e	: 
A,MIO_EUR,TOTAL,DE937	4716.14 e	4937.39 e	5225.97 e	5288.23 e	: 
A,MIO_EUR,TOTAL,DE938	4266.49 e	4495.77 e	4588.71 e	4753.13 e	: 
A,MIO_EUR,TOTAL,DE939	5572.7 e	5971.86 e	5867.11 e	6579.2 e	: 
A,MIO_EUR,TOTAL,DE93A	2324.66 e	2398.96 e	2430.24 e	2587.07 e	: 
A,MIO_EUR,TOTAL,DE93B	3809.22 e	4084.43 e	4035.7 e	4228.1 e	: 
A,MIO_EUR,TOTAL,DE94	80112.91 e	83943.66 e	84548.3 e	88116.2 e	94848.12 e
A,MIO_EUR,TOTAL,DE941	1608.96 e	1650.76 e	1706.32 e	1780.72 e	: 
A,MIO_EUR,TOTAL,DE942	3322.93 e	3387.62 e	2953.83 e	3032.93 e	: 
A,MIO_EUR,TOTAL,DE943	7112.01 e	7420.3 e	7520.6 e	7858.7 e	: 
A,MIO_EUR,TOTAL,DE944	7419.6 e	7739.26 e	7726 e	7974.07 e	: 
A,MIO_EUR,TOTAL,DE945	2904.53 e	2907.71 e	2923.75 e	3159.65 e	: 
A,MIO_EUR,TOTAL,DE946	3440.05 e	3628.32 e	3745.29 e	3883.92 e	: 
A,MIO_EUR,TOTAL,DE947	4524.96 e	4666.73 e	4636.74 e	4780.1 e	: 
A,MIO_EUR,TOTAL,DE948	5115.19 e	5450.31 e	5698.35 e	5684.51 e	: 
A,MIO_EUR,TOTAL,DE949	12225.57 e	12949.33 e	12857.93 e	13829.54 e	: 
A,MIO_EUR,TOTAL,DE94A	2423.75 e	2485.55 e	2410.32 e	2542.35 e	: 
A,MIO_EUR,TOTAL,DE94B	3908.03 e	4155.18 e	4350.75 e	4527.04 e	: 
A,MIO_EUR,TOTAL,DE94C	3918.83 e	4145.52 e	4084.36 e	4336.6 e	: 
A,MIO_EUR,TOTAL,DE94D	2875.92 e	3039.19 e	3077.17 e	3270.12 e	: 
A,MIO_EUR,TOTAL,DE94E	9741.99 e	10261.69 e	10439.85 e	10793.05 e	: 
A,MIO_EUR,TOTAL,DE94F	5663.78 e	5933.63 e	6109.47 e	6325.1 e	: 
A,MIO_EUR,TOTAL,DE94G	2584.04 e	2672.5 e	2894.91 e	2881.86 e	: 
A,MIO_EUR,TOTAL,DE94H	1322.76 e	1450.07 e	1412.66 e	1455.95 e	: 
A,MIO_EUR,TOTAL,DEA	633356.97 e	646528.9 e	640961.56 e	676900.67 e	722370.99 e
A,MIO_EUR,TOTAL,DEA1	196145.62 e	199210.17 e	197346.55 e	209006.27 e	223208.99 e
A,MIO_EUR,TOTAL,DEA11	46472.82 e	46923.51 e	47171.73 e	49623.83 e	: 
A,MIO_EUR,TOTAL,DEA12	16364.42 e	16053.09 e	15396.95 e	16702.54 e	: 
A,MIO_EUR,TOTAL,DEA13	23210.32 e	23733.1 e	23531.89 e	24938.56 e	: 
A,MIO_EUR,TOTAL,DEA14	8468.03 e	8492.1 e	8589.76 e	8944.52 e	: 
A,MIO_EUR,TOTAL,DEA15	8048.67 e	8176.3 e	8148.4 e	8459.8 e	: 
A,MIO_EUR,TOTAL,DEA16	5613.68 e	5591.45 e	5380.89 e	5734.29 e	: 
A,MIO_EUR,TOTAL,DEA17	5250.17 e	5176.06 e	5167.01 e	5364.08 e	: 
A,MIO_EUR,TOTAL,DEA18	3617.13 e	3822.85 e	3685.76 e	3926.26 e	: 
A,MIO_EUR,TOTAL,DEA19	4580.49 e	4702.53 e	4702.01 e	4959.84 e	: 
A,MIO_EUR,TOTAL,DEA1A	11755.43 e	12095.3 e	11716.57 e	12333.08 e	: 
A,MIO_EUR,TOTAL,DEA1B	8590.68 e	9015.28 e	9020.62 e	9494.64 e	: 
A,MIO_EUR,TOTAL,DEA1C	17892.63 e	18578.51 e	18090.66 e	19349.84 e	: 
A,MIO_EUR,TOTAL,DEA1D	16604.81 e	16349.81 e	16055.87 e	17654.33 e	: 
A,MIO_EUR,TOTAL,DEA1E	7735.4 e	8039.55 e	8208.27 e	8320.62 e	: 
A,MIO_EUR,TOTAL,DEA1F	11940.96 e	12460.74 e	12480.16 e	13200.03 e	: 
A,MIO_EUR,TOTAL,DEA2	173699.58 e	175727.48 e	172631.53 e	183162.69 e	195480.6 e
A,MIO_EUR,TOTAL,DEA22	23874.6 e	22522.41 e	23267.34 e	24779.53 e	: 
A,MIO_EUR,TOTAL,DEA23	58892.86 e	59810.44 e	57433.5 e	61104.26 e	: 
A,MIO_EUR,TOTAL,DEA24	7649.16 e	7623.54 e	6922.53 e	7766.83 e	: 
A,MIO_EUR,TOTAL,DEA26	7044.94 e	7312.82 e	7477.23 e	7682.05 e	: 
A,MIO_EUR,TOTAL,DEA27	15114.27 e	15549.62 e	15137.85 e	16302.23 e	: 
A,MIO_EUR,TOTAL,DEA28	4861.93 e	4923.53 e	4996.3 e	5243.39 e	: 
A,MIO_EUR,TOTAL,DEA29	5925.38 e	6144.15 e	6188.34 e	6498.47 e	: 
A,MIO_EUR,TOTAL,DEA2A	8854.3 e	9083.06 e	8830.27 e	9331.45 e	: 
A,MIO_EUR,TOTAL,DEA2B	7177.87 e	7447.93 e	7107.95 e	7442.55 e	: 
A,MIO_EUR,TOTAL,DEA2C	15227.42 e	15645.16 e	15676.8 e	16264.78 e	: 
A,MIO_EUR,TOTAL,DEA2D	19076.85 e	19664.83 e	19593.41 e	20747.15 e	: 
A,MIO_EUR,TOTAL,DEA3	79298.53 e	82249.9 e	82994.35 e	86894.42 e	92958.83 e
A,MIO_EUR,TOTAL,DEA31	2504.41 e	2554.68 e	2533.51 e	2599.69 e	: 
A,MIO_EUR,TOTAL,DEA32	7233.1 e	7525.2 e	7321.41 e	8032.11 e	: 
A,MIO_EUR,TOTAL,DEA33	15751.78 e	16374.09 e	16456.27 e	17244.4 e	: 
A,MIO_EUR,TOTAL,DEA34	12499.63 e	13073.67 e	13143.08 e	13713.86 e	: 
A,MIO_EUR,TOTAL,DEA35	5681.83 e	5926.59 e	6095.27 e	6352.43 e	: 
A,MIO_EUR,TOTAL,DEA36	14579.56 e	14998.46 e	14896.59 e	15441.26 e	: 
A,MIO_EUR,TOTAL,DEA37	13256.21 e	13606.38 e	14169.1 e	14838.49 e	: 
A,MIO_EUR,TOTAL,DEA38	7792.01 e	8190.84 e	8379.13 e	8672.19 e	: 
A,MIO_EUR,TOTAL,DEA4	70697.35 e	73175.18 e	73653.24 e	76576.09 e	81634.77 e
A,MIO_EUR,TOTAL,DEA41	12420.01 e	12807.42 e	12871.79 e	13446.7 e	: 
A,MIO_EUR,TOTAL,DEA42	15729.87 e	16549.38 e	17080.2 e	17266.27 e	: 
A,MIO_EUR,TOTAL,DEA43	7643.76 e	7954.39 e	7911.89 e	8314.13 e	: 
A,MIO_EUR,TOTAL,DEA44	3615.22 e	3676.32 e	3668.94 e	3827.2 e	: 
A,MIO_EUR,TOTAL,DEA45	9609.72 e	9867.59 e	9909.59 e	10397.18 e	: 
A,MIO_EUR,TOTAL,DEA46	11697.98 e	12069.9 e	12061.7 e	12549.06 e	: 
A,MIO_EUR,TOTAL,DEA47	9980.79 e	10250.19 e	10149.14 e	10775.55 e	: 
A,MIO_EUR,TOTAL,DEA5	113515.9 e	116166.16 e	114335.91 e	121261.18 e	129087.8 e
A,MIO_EUR,TOTAL,DEA51	11062.85 e	11511.18 e	11572.53 e	12450.91 e	: 
A,MIO_EUR,TOTAL,DEA52	20815.43 e	21590.98 e	21482.99 e	22587.36 e	: 
A,MIO_EUR,TOTAL,DEA53	5937.22 e	5916.71 e	5686.09 e	6130.31 e	: 
A,MIO_EUR,TOTAL,DEA54	4717.84 e	4925.81 e	4941.74 e	5037.23 e	: 
A,MIO_EUR,TOTAL,DEA55	3495.3 e	3723.4 e	3840.46 e	3973.53 e	: 
A,MIO_EUR,TOTAL,DEA56	8927.88 e	9105.75 e	8960.95 e	9284.8 e	: 
A,MIO_EUR,TOTAL,DEA57	8670.4 e	9025.57 e	8824.51 e	9300.18 e	: 
A,MIO_EUR,TOTAL,DEA58	13763.19 e	13774.93 e	13366.76 e	14287.53 e	: 
A,MIO_EUR,TOTAL,DEA59	4997.43 e	5006.95 e	4847.68 e	5305.63 e	: 
A,MIO_EUR,TOTAL,DEA5A	10227.58 e	10304.18 e	9799.45 e	10163.39 e	: 
A,MIO_EUR,TOTAL,DEA5B	9776.83 e	10128.86 e	9998.17 e	10765.21 e	: 
A,MIO_EUR,TOTAL,DEA5C	11123.94 e	11151.86 e	11014.58 e	11975.1 e	: 
A,MIO_EUR,TOTAL,DEB	129018.3 e	132512.76 e	131014.72 e	147080.49 e	155325.7 e
A,MIO_EUR,TOTAL,DEB1	45154.35 e	46691.12 e	46717.3 e	49411.39 e	51946.52 e
